Size (Kb),Time (s),Throughput (Kb/s)
0.027,0.000749177,36.0395474
0.02,0.000716956,27.89571466
0.046,0.000717468,64.11435771
0.048,0.000737725,65.06489546
0.027,0.000764165,35.33268339
0.016,0.000754026,21.21942745
0.02,0.000747654,26.75034174
0.02,0.000704332,28.39569976
0.023,0.000715934,32.12586635
0.021,0.000746691,28.12408346
0.028,0.000822274,34.0519097
0.066,0.000740641,89.11199893
0.043,0.000791316,54.33985917
0.07,0.000771328,90.75257219
0.029,0.000762652,38.02520678
0.075,0.000730712,102.6396173
0.067,0.000720883,92.94157304
0.042,0.000718488,58.45609112
0.058,0.000754537,76.86833118
0.033,0.000719311,45.8772353
0.027,0.000732045,36.88297851
0.03,0.000774564,38.73146699
0.05,0.000789443,63.33579498
0.065,0.000813528,79.89890944
0.078,0.000792889,98.37442568
0.022,0.000757592,29.0393774
0.02,0.000760197,26.30896991
0.019,0.000746852,25.44011397
0.018,0.000769014,23.40659598
0.08,0.000779874,102.5806733
0.017,0.000814319,20.87633962
0.02,0.000766279,26.10015412
0.056,0.000737244,75.95857003
0.018,0.000744017,24.19299559
0.047,0.00075109,62.57572328
0.021,0.00074552,28.1682584
0.029,0.000696528,41.63508143
0.029,0.000725121,39.99332525
0.066,0.00077209,85.48226243
0.027,0.00071386,37.82254224
0.018,0.00093203,19.31268307
0.044,0.000766619,57.39487281
0.074,0.000792528,93.37209537
0.023,0.000779523,29.50522307
0.039,0.000770727,50.60157488
0.019,0.000709923,26.7634659
0.016,0.000737795,21.68624076
0.021,0.00088913,23.61859346
0.066,0.000753955,87.53838094
0.02,0.000837352,23.88481785
0.071,0.000782529,90.73146171
0.058,0.000743326,78.02767561
0.06,0.000743506,80.69874352
0.02,0.000721054,27.73717364
0.02,0.000723819,27.6312172
0.075,0.000777419,96.47307308
0.02,0.000754346,26.51303248
0.018,0.000800503,22.48586201
0.055,0.000716425,76.77007363
0.05,0.000783911,63.78275085
0.02,0.000855656,23.37387922
0.017,0.000742865,22.88437334
0.018,0.000745731,24.13739002
0.023,0.000809219,28.4224666
0.069,0.000765156,90.17768926
0.09,0.000757012,118.888472
0.037,0.000803528,46.04693303
0.016,0.000775707,20.62634474
0.03,0.000759275,39.51137598
0.045,0.000731143,61.54746746
0.016,0.000749498,21.34762201
0.031,0.000794802,39.00342475
0.028,0.001116776,25.07217204
0.017,0.000737174,23.06104122
0.025,0.000742544,33.66803853
0.042,0.000764375,54.946852
0.019,0.000731133,25.98706391
0.06,0.000725161,82.74024665
0.093,0.000743346,125.1099757
0.023,0.000823997,27.91272298
0.028,0.000731493,38.27787826
0.063,0.000748526,84.16541309
0.027,0.000734428,36.76330423
0.053,0.000777049,68.20676688
0.02,0.000755368,26.4771608
0.025,0.000747223,33.45721425
0.022,0.000772861,28.465662
0.019,0.000745299,25.49312424
0.04,0.000765146,52.27760454
0.029,0.000745359,38.90742582
0.028,0.000734379,38.1274519
0.02,0.000710454,28.1510133
0.023,0.000793209,28.99614099
0.017,0.00074081,22.94785438
0.166,0.000941958,176.2286641
0.017,0.00078303,21.71053472
0.028,0.000727175,38.50517413
0.04,0.000756791,52.85475118
0.031,0.000786958,39.3921912
0.06,0.000729991,82.19279416
0.051,0.000609094,83.73091838
0.023,0.000762662,30.15752719
0.025,0.000792838,31.53229285
0.026,0.000742003,35.04028959
0.018,0.000750479,23.98468178
0.033,0.000730401,45.18066103
0.022,0.000786898,27.95788018
0.032,0.000735581,43.50302686
0.016,0.000771418,20.74102497
0.049,0.000749858,65.34570545
0.028,0.000754246,37.12316671
0.025,0.000749066,33.3748962
0.062,0.000749498,82.72203528
0.025,0.00081488,30.67936383
0.065,0.000726324,89.49174198
0.023,0.00079921,28.77841869
0.023,0.000728889,31.55487324
0.02,0.000727035,27.508992
0.031,0.000834186,37.16197587
0.034,0.000867299,39.20216673
0.02,0.000728437,27.4560463
0.032,0.000737215,43.40660459
0.048,0.000764356,62.79796325
0.025,0.000744908,33.56119145
0.062,0.000726684,85.31906578
0.021,0.000723018,29.04492004
0.058,0.000749127,77.42345423
0.029,0.000715052,40.556491
0.036,0.000801174,44.93405927
0.016,0.000747503,21.40459637
0.051,0.000762481,66.88691259
0.043,0.000728077,59.05968737
0.017,0.000725011,23.4479201
0.025,0.000859314,29.09297416
0.092,0.000752193,122.309035
0.162,0.000755258,214.4962384
0.021,0.000780285,26.91324324
0.076,0.00071902,105.6994242
0.065,0.000714001,91.03628706
0.051,0.000702649,72.58247005
0.046,0.000720733,63.8239126
0.024,0.000769014,31.20879464
0.016,0.000739428,21.63834748
0.02,0.000727436,27.49382764
0.046,0.000776337,59.25261839
0.038,0.000779082,48.77535356
0.053,0.000759616,69.77209537
0.085,0.000703581,120.8105392
0.029,0.000736112,39.39617884
0.027,0.000768453,35.13552553
0.034,0.000755759,44.98788635
0.033,0.000733036,45.01825286
0.06,0.000807015,74.34806044
0.022,0.00076138,28.89490136
0.056,0.000734118,76.28201461
0.042,0.000757993,55.40948267
0.027,0.000748495,36.07238525
0.018,0.000758785,23.72213473
0.07,0.000765727,91.41639253
0.03,0.000811113,36.98621524
0.019,0.000945014,20.10552225
0.018,0.000748185,24.05822089
0.02,0.000779684,25.65141775
