Size (Kb),Time (s),Throughput (Kb/s)
459.851,0.034069986,13497.24652
823.675,0.061831242,13321.34004
989.263,0.074573157,13265.67145
0.154,0.000833084,184.8553087
990.784,0.073146649,13545.17279
1467.658,0.108696935,13502.29425
0.004,0.00097994,4.081882564
865.901,0.064956157,13330.5454
0.002,0.000760437,2.630066659
1025.595,0.074815633,13708.2981
0.078,0.000792087,98.47403126
0.042,0.000821362,51.13457891
2241.218,0.161191993,13904.0281
16.146,0.002514489,6421.185378
699.867,0.056493263,12388.50374
0.087,0.001223467,71.10939649
1182.292,0.096595251,12239.64934
0.008,0.000906361,8.826505112
259.839,0.02056536,12634.78976
883.923,0.067565264,13082.50642
1227.21,0.092572511,13256.74314
0.209,0.000837011,249.6980326
672.193,0.051213985,13125.18446
286.117,0.02229743,12831.83757
0.002,0.000848964,2.355812496
1.395,0.000880432,1584.449452
1347.004,0.100712087,13374.79979
1702.969,0.127080819,13400.67693
466.849,0.036902833,12650.76315
4196.184,0.320137649,13107.4368
1486.13,0.11075104,13418.65503
657.408,0.048845719,13458.86627
636.419,0.049658855,12815.82107
71.106,0.006375666,11152.71722
1559.393,0.116870826,13342.87652
91.756,0.007522389,12197.7207
1008.764,0.074486865,13542.8441
658.306,0.049899166,13192.72551
67.593,0.005655985,11950.70355
243.073,0.018709787,12991.75667
451.106,0.034886078,12930.83161
662.788,0.050304337,13175.56377
1063.861,0.078610265,13533.3598
1013.461,0.074389472,13623.71546
143.193,0.011549047,12398.68536
2517.34,0.187736385,13408.90845
1019.152,0.075491451,13500.23064
372.455,0.02831735,13152.89037
1080.969,0.079936263,13522.88635
0.89,0.000912963,974.8478306
105.944,0.009054374,11700.86413
0.719,0.000780284,921.4593661
637.799,0.047555999,13411.53616
73.15,0.007126987,10263.80433
0.003,0.00079398,3.778432706
1097.775,0.081112861,13533.92035
162.098,0.012888571,12576.87916
0.151,0.000911741,165.6172093
494.295,0.037790539,13079.86107
290.433,0.023900399,12151.8055
1.849,0.001140861,1620.705765
1925.58,0.146220142,13169.04753
539.444,0.042456327,12705.85654
0.645,0.000955223,675.2349975
851.643,0.06620983,12862.7879
18.209,0.002522174,7219.565343
50.931,0.004892563,10409.88128
1776.191,0.132542731,13400.89333
0.002,0.000772831,2.587887908
395.785,0.030686195,12897.81936
1762.723,0.12872757,13693.43801
0.001,0.000773903,1.2921516
306.398,0.023966664,12784.34078
402.244,0.030237914,13302.63721
616.291,0.046409257,13279.48431
305.128,0.023902202,12765.68577
159.284,0.012753868,12489.0739
2620.656,0.192825917,13590.78718
1129.124,0.083800506,13473.95205
2.255,0.001027158,2195.377926
170.219,0.01341601,12687.75143
989.9,0.073718392,13428.12795
778.496,0.05726957,13593.53667
679.695,0.051476487,13203.98962
0.011,0.000797346,13.79576746
0.002,0.000774253,2.58313497
2670.391,0.197318409,13533.41036
1040.044,0.075968486,13690.46633
189.673,0.014870541,12754.94953
332.965,0.026104817,12754.92565
254.752,0.019661413,12956.95279
3005.129,0.221154047,13588.39705
2447.498,0.189405557,12921.99679
1618.012,0.121142293,13356.29333
0.855,0.000768151,1113.062406
364.546,0.028041812,13000.08716
522.964,0.040843319,12804.15042
0.002,0.000893837,2.237544429
209.997,0.016699884,12574.758
0.002,0.000833845,2.398527304
738.41,0.055869442,13216.70619
2198.32,0.163952214,13408.29713
0.02,0.000877147,22.80119524
0.002,0.000875393,2.284688134
298.488,0.023297678,12811.92057
403.364,0.03133819,12871.32409
10.473,0.00156634,6686.287779
0.001,0.000859733,1.163151816
114.122,0.01006966,11333.25256
539.881,0.040883535,13205.34049
1382.07,0.101289101,13644.80469
913.368,0.072354573,12623.50066
839.703,0.063012098,13326.06002
2652.397,0.190702923,13908.52829
3258.887,0.240898334,13528.05952
325.955,0.025246966,12910.66024
333.612,0.025184118,13246.92014
1053.088,0.080438195,13091.88999
0.053,0.000753053,70.38017244
0.283,0.000831561,340.3238007
191.192,0.015396488,12417.89686
0.391,0.000845387,462.5100694
120.814,0.009974802,12111.91962
0.594,0.000850706,698.2435765
577.839,0.0433534,13328.574
191.93,0.015399093,12463.72108
318.406,0.024472302,13010.87245
81.643,0.007315931,11159.61865
1910.51,0.142069502,13447.71378
211.001,0.016546106,12752.30559
763.55,0.056126294,13604.14069
